NM_UF,NM_MUNICIPIO,LONG,LAT
AMAZONAS,CAAPIRANGA,-61.21133413,-3.330093392
AMAZONAS,CANUTAMA,-64.39423082,-6.529106076
AMAZONAS,CARAUARI,-66.89663528,-4.881665904
AMAZONAS,CAREIRO,-60.36380984,-3.82244727
AMAZONAS,CAREIRO DA VÁRZEA,-59.82631406,-3.197396595
AMAZONAS,COARI,-63.14218398,-4.084219159
AMAZONAS,CODAJÁS,-62.06342966,-3.843045933
AMAZONAS,EIRUNEPÉ,-69.86629026,-6.667352567
AMAZONAS,ITAPIRANGA,-58.03454588,-2.741842752
AMAZONAS,JAPURÁ,-66.99690349,-1.880844859
AMAZONAS,JURUÁ,-66.06304193,-3.474889599
AMAZONAS,JUTAÍ,-66.77132755,-2.744646447
AMAZONAS,LÁBREA,-64.79477303,-7.261946553
AMAZONAS,MANACAPURU,-60.62058945,-3.298278035
AMAZONAS,MANAQUIRI,-60.45888131,-3.429079669
AMAZONAS,MANAUS,-60.02333518,-3.134691491
AMAZONAS,MANICORÉ,-61.29924841,-5.813205261
AMAZONAS,MARAÃ,-65.5742837,-1.866436877
AMAZONAS,MAUÉS,-57.71503439,-3.386427926
AMAZONAS,NHAMUNDÁ,-56.71676991,-2.188983767
AMAZONAS,NOVA OLINDA DO NORTE,-59.09307403,-3.887592832
AMAZONAS,NOVO AIRÃO,-60.94881071,-2.623432459
AMAZONAS,NOVO ARIPUANÃ,-60.37704567,-5.122669314
AMAZONAS,PARINTINS,-56.73629215,-2.627052586
AMAZONAS,PAUINI,-67.00209749,-7.714043644
AMAZONAS,PRESIDENTE FIGUEIREDO,-60.02564683,-2.058429085
AMAZONAS,RIO PRETO DA EVA,-59.70473809,-2.693301542
AMAZONAS,SANTA ISABEL DO RIO NEGRO,-65.02002264,-0.416694832
AMAZONAS,SANTO ANTÔNIO DO IÇÁ,-67.94648514,-3.107486309
AMAZONAS,SÃO GABRIEL DA CACHOEIRA,-67.0836429,-0.136462788
AMAZONAS,SÃO PAULO DE OLIVENÇA,-68.94485349,-3.466509623
AMAZONAS,SÃO SEBASTIÃO DO UATUMÃ,-57.87034636,-2.57015258
AMAZONAS,SILVES,-58.21480086,-2.83642743
AMAZONAS,TABATINGA,-69.94624438,-4.231883676
PARÁ,ALMEIRIM,-52.57683509,-1.527338803
PARÁ,ALTAMIRA,-52.21437631,-3.20565951
PARÁ,ANAJÁS,-49.94500104,-0.984451394
PARÁ,ANANINDEUA,-48.37206665,-1.368713568
PARÁ,ANAPU,-51.2016218,-3.476104635
PARÁ,AUGUSTO CORRÊA,-46.64164579,-1.02292101
PARÁ,AURORA DO PARÁ,-47.5561746,-2.129376013
PARÁ,AVEIRO,-55.33073439,-3.605595259
PARÁ,BAGRE,-50.22198692,-1.88980806
PARÁ,BAIÃO,-49.67275337,-2.791961861
AMAZONAS,TAPAUÁ,-63.18709487,-5.624223518
AMAZONAS,TEFÉ,-64.70841966,-3.348372494
AMAZONAS,TONANTINS,-67.77648228,-2.86109125
AMAZONAS,UARINI,-65.15534564,-2.983609243
AMAZONAS,URUCARÁ,-57.75982817,-2.536611672
AMAZONAS,URUCURITUBA,-58.15964104,-3.134633116
RORAIMA,AMAJARI,-61.42059017,3.652118445
RORAIMA,ALTO ALEGRE,-61.31402239,2.993822948
RORAIMA,BOA VISTA,-60.67053267,2.816681919
RORAIMA,BONFIM,-59.87800663,3.350288619
RORAIMA,CANTÁ,-60.60206285,2.607666398
RORAIMA,CARACARAÍ,-61.14917687,1.803871247
RORAIMA,CAROEBE,-59.69481007,0.872674507
RORAIMA,IRACEMA,-61.05225859,2.168214765
RORAIMA,MUCAJAÍ,-60.91151853,2.479772235
RORAIMA,NORMANDIA,-59.63520628,3.882978285
RORAIMA,PACARAIMA,-61.14730635,4.47525934
RORAIMA,RORAINÓPOLIS,-60.42506049,0.937195394
RORAIMA,SÃO JOÃO DA BALIZA,-59.90604435,0.947157427
RORAIMA,SÃO LUIZ,-60.02826677,1.018111627
RORAIMA,UIRAMUTÃ,-60.19571615,4.585440388
PARÁ,ABAETETUBA,-48.88440382,-1.723469863
PARÁ,ABEL FIGUEIREDO,-48.39676213,-4.951390896
PARÁ,ACARÁ,-48.20045643,-1.9634365
PARÁ,AFUÁ,-50.39142759,-0.159171694
PARÁ,ÁGUA AZUL DO NORTE,-50.48527451,-6.804948867
PARÁ,ALENQUER,-54.74086235,-1.951397505
PARÁ,BANNACH,-50.40604712,-7.351072192
PARÁ,BARCARENA,-48.62707289,-1.505767005
PARÁ,BELÉM,-48.48782569,-1.459845
PARÁ,BELTERRA,-54.94267474,-2.649020169
PARÁ,BENEVIDES,-48.24183645,-1.361437515
PARÁ,BOM JESUS DO TOCANTINS,-48.59903996,-5.047362704
PARÁ,BONITO,-47.30589182,-1.367474357
PARÁ,BRAGANÇA,-46.76575421,-1.053523956
PARÁ,BREU BRANCO,-49.56987968,-3.778135413
PARÁ,BREVES,-50.4808948,-1.6907365
PARÁ,BUJARU,-48.03587501,-1.513991462
PARÁ,CACHOEIRA DO PIRIÁ,-46.54739142,-1.752897005
PARÁ,CACHOEIRA DO ARARI,-48.96066758,-1.008786266
PARÁ,CAMETÁ,-49.49783017,-2.24683848
PARÁ,CANAÃ DOS CARAJÁS,-49.84895843,-6.532196616
PARÁ,BRASIL NOVO,-52.54344119,-3.297803704
PARÁ,BREJO GRANDE DO ARAGUAIA,-48.40576042,-5.707296154
PARÁ,ITUPIRANGA,-49.32442586,-5.128837026
PARÁ,JACAREACANGA,-57.76633986,-6.223551731
PARÁ,JACUNDÁ,-49.11278156,-4.448405475
PARÁ,JURUTI,-56.09499769,-2.155252995
PARÁ,LIMOEIRO DO AJURU,-49.3815339,-1.8919485
PARÁ,MÃE DO RIO,-47.55229018,-2.047707441
PARÁ,MAGALHÃES BARATA,-47.5991819,-0.795850156
PARÁ,MARABÁ,-49.14202533,-5.352605763
PARÁ,MARACANÃ,-47.45526796,-0.76241946
PARÁ,MARAPANIM,-47.70254875,-0.712150996
PARÁ,CAPANEMA,-47.17512612,-1.192441995
PARÁ,CAPITÃO POÇO,-47.06282538,-1.746187293
PARÁ,CASTANHAL,-47.92664314,-1.295756805
PARÁ,CHAVES,-49.98931861,-0.16243729
PARÁ,COLARES,-48.28872843,-0.932091244
PARÁ,CONCEIÇÃO DO ARAGUAIA,-49.26450081,-8.26486353
PARÁ,CONCÓRDIA DO PARÁ,-47.94988694,-1.984521463
PARÁ,CUMARU DO NORTE,-50.77157838,-7.811106537
PARÁ,CURIONÓPOLIS,-49.60221422,-6.096819952
PARÁ,CURRALINHO,-49.79152285,-1.80942342
PARÁ,CURUÁ,-55.11967861,-1.889928704
PARÁ,CURUÇÁ,-47.85126509,-0.73249551
PARÁ,DOM ELISEU,-47.55591489,-4.29077772
PARÁ,ELDORADO DOS CARAJÁS,-49.37395194,-6.103525161
PARÁ,FARO,-56.74575302,-2.172975242
PARÁ,FLORESTA DO ARAGUAIA,-49.69757841,-7.558700872
PARÁ,GARRAFÃO DO NORTE,-47.04504602,-1.931697043
PARÁ,GOIANÉSIA DO PARÁ,-49.10104492,-3.842468
PARÁ,GURUPÁ,-51.64369572,-1.404918
PARÁ,IGARAPÉ-AÇU,-47.62237549,-1.124322
PARÁ,IGARAPÉ-MIRI,-48.96229947,-1.983116
PARÁ,INHANGAPI,-47.91339275,-1.426581981
PARÁ,IPIXUNA DO PARÁ,-47.49971759,-2.5575285
PARÁ,IRITUIA,-47.44075561,-1.771474995
PARÁ,ITAITUBA,-55.99004886,-4.26372948
PARÁ,SOURE,-48.51601266,-0.7259255
PARÁ,TAILÂNDIA,-48.95128163,-2.9370795
PARÁ,TERRA ALTA,-47.90780835,-1.034826664
PARÁ,TERRA SANTA,-56.49090477,-2.108114474
PARÁ,TOMÉ-AÇU,-48.14689659,-2.419366855
PARÁ,TRACUATEUA,-46.89947834,-1.068784059
PARÁ,TRAIRÃO,-55.99617003,-4.69981915
PARÁ,TUCUMÃ,-51.13953925,-6.749972007
PARÁ,MARITUBA,-48.34053588,-1.346417266
PARÁ,MEDICILÂNDIA,-52.88834535,-3.445417412
PARÁ,MELGAÇO,-50.7174647,-1.803446699
PARÁ,MOCAJUBA,-49.50902346,-2.582872973
PARÁ,MOJU,-48.76719913,-1.885889
PARÁ,MONTE ALEGRE,-54.07337473,-2.003328
PARÁ,MUANÁ,-49.21683244,-1.530026208
PARÁ,NOVA ESPERANÇA DO PIRIÁ,-46.96209288,-2.267625989
PARÁ,NOVA IPIXUNA,-49.07988694,-4.923086307
PARÁ,NOVA TIMBOTEUA,-47.39320228,-1.204143647
PARÁ,NOVO PROGRESSO,-55.41987012,-7.034835913
PARÁ,NOVO REPARTIMENTO,-49.94863824,-4.2481485
PARÁ,ÓBIDOS,-55.51632351,-1.909235496
PARÁ,OEIRAS DO PARÁ,-49.85510611,-2.004734
PARÁ,ORIXIMINÁ,-55.86279952,-1.7637535
PARÁ,OURÉM,-47.11761936,-1.548947142
PARÁ,OURILÂNDIA DO NORTE,-51.09083277,-6.740617086
PARÁ,PACAJÁ,-50.63484083,-3.830305704
PARÁ,PALESTINA DO PARÁ,-48.32179373,-5.749934106
PARÁ,PARAGOMINAS,-47.35696156,-2.9941905
PARÁ,PARAUAPEBAS,-49.90078063,-6.072729888
PARÁ,PAU D'ARCO,-50.04827553,-7.836794404
PARÁ,PEIXE-BOI,-47.31792702,-1.189569241
PARÁ,PIÇARRA,-48.86840067,-6.453676235
PARÁ,PLACAS,-54.21696813,-3.867315562
PARÁ,PONTA DE PEDRAS,-48.87178556,-1.396599998
PARÁ,PORTEL,-50.82249044,-1.936451
PARÁ,PORTO DE MOZ,-52.24247692,-1.746090089
PARÁ,PRAINHA,-53.48181394,-1.8056945
PARÁ,PRIMAVERA,-47.11725126,-0.940111516
PARÁ,QUATIPURU,-47.00678699,-0.900115854
PARÁ,REDENÇÃO,-50.02964183,-8.0276045
PARÁ,RIO MARIA,-50.04641088,-7.311115245
PARÁ,RONDON DO PARÁ,-48.06997375,-4.777821727
PARÁ,RURÓPOLIS,-54.90586226,-4.09906539
PARÁ,SALINÓPOLIS,-47.35312026,-0.623638
PARÁ,SALVATERRA,-48.5131866,-0.754525974
PARÁ,SANTA BÁRBARA DO PARÁ,-48.29774065,-1.229439467
PARÁ,SANTA CRUZ DO ARARI,-49.17161557,-0.659974126
PARÁ,SANTA ISABEL DO PARÁ,-48.16305994,-1.297395901
PARÁ,SANTA LUZIA DO PARÁ,-46.9061692,-1.518827891
PARÁ,SANTA MARIA DAS BARREIRAS,-49.71935186,-8.87055054
PARÁ,SANTA MARIA DO PARÁ,-47.57469541,-1.347866459
PARÁ,SANTANA DO ARAGUAIA,-50.34480432,-9.329424525
PARÁ,SANTARÉM,-54.71857017,-2.43621333
PARÁ,SANTARÉM NOVO,-47.40092474,-0.928719536
PARÁ,SANTO ANTÔNIO DO TAUÁ,-48.13243307,-1.1516925
PARÁ,SÃO CAETANO DE ODIVELAS,-48.0258055,-0.74661776
PARÁ,SÃO DOMINGOS DO ARAGUAIA,-48.72037341,-5.549841
PARÁ,SÃO DOMINGOS DO CAPIM,-47.77478457,-1.6758145
PARÁ,SÃO FÉLIX DO XINGU,-51.99378252,-6.642483278
PARÁ,SÃO FRANCISCO DO PARÁ,-47.79051461,-1.170188785
PARÁ,SÃO GERALDO DO ARAGUAIA,-48.55571249,-6.39895797
PARÁ,SÃO JOÃO DA PONTA,-47.92072417,-0.851002145
PARÁ,SÃO JOÃO DE PIRABAS,-47.1726743,-0.766442532
PARÁ,SÃO JOÃO DO ARAGUAIA,-48.7886334,-5.359002724
PARÁ,SÃO MIGUEL DO GUAMÁ,-47.48240894,-1.617135914
PARÁ,SÃO SEBASTIÃO DA BOA VISTA,-49.53231217,-1.7188505
PARÁ,SAPUCAIA,-49.70358071,-6.942857113
PARÁ,SENADOR JOSÉ PORFÍRIO,-51.95305642,-2.594850418
PARÁ,TUCURUÍ,-49.66718437,-3.766889084
PARÁ,ULIANÓPOLIS,-47.50314475,-3.75719301
PARÁ,URUARÁ,-53.73703105,-3.7065285
PARÁ,VIGIA,-48.14149859,-0.855532574
PARÁ,VISEU,-46.13876522,-1.203278527
PARÁ,VITÓRIA DO XINGU,-52.01126035,-2.88376571
PARÁ,XINGUARA,-49.94270058,-7.101512827
AMAPÁ,SERRA DO NAVIO,-52.00353844,0.897841041
AMAPÁ,AMAPÁ,-50.79321447,2.053921245
AMAPÁ,PEDRA BRANCA DO AMAPARI,-51.94659427,0.776882861
AMAPÁ,CALÇOENE,-50.94477273,2.496559045
AMAPÁ,CUTIAS,-50.80162603,0.971078055
AMAPÁ,FERREIRA GOMES,-51.18742905,0.853977393
AMAPÁ,ITAUBAL,-50.70017944,0.600653288
AMAPÁ,LARANJAL DO JARI,-52.53902074,-0.8556645
AMAPÁ,MACAPÁ,-51.05740546,0.03895101
MARANHÃO,ALDEIAS ALTAS,-43.46873485,-4.630779495
MARANHÃO,ALTAMIRA DO MARANHÃO,-45.46467583,-4.162269267
MARANHÃO,ALTO ALEGRE DO MARANHÃO,-44.44824749,-4.207227
MARANHÃO,ALTO ALEGRE DO PINDARÉ,-45.84207962,-3.665170374
AMAPÁ,MAZAGÃO,-51.28607686,-0.124396329
AMAPÁ,OIAPOQUE,-51.83055256,3.851130733
AMAPÁ,PORTO GRANDE,-51.41444882,0.712554702
AMAPÁ,PRACUÚBA,-50.78425372,1.742508487
AMAPÁ,SANTANA,-51.17284647,-0.038373479
AMAPÁ,TARTARUGALZINHO,-50.91278615,1.50984824
AMAPÁ,VITÓRIA DO JARI,-52.41961478,-0.918977089
TOCANTINS,ABREULÂNDIA,-49.16243756,-9.621790712
TOCANTINS,AGUIARNÓPOLIS,-47.47045659,-6.547170821
TOCANTINS,ALIANÇA DO TOCANTINS,-48.94124002,-11.30374305
TOCANTINS,ALMAS,-47.17417168,-11.57452347
TOCANTINS,ALVORADA,-49.12681141,-12.47881532
TOCANTINS,ANANÁS,-48.07976461,-6.362818154
TOCANTINS,ANGICO,-47.86207784,-6.38775275
TOCANTINS,APARECIDA DO RIO NEGRO,-47.97667001,-9.955877715
TOCANTINS,ARAGOMINAS,-48.52343019,-7.164349271
TOCANTINS,ARAGUACEMA,-49.56181264,-8.801802544
TOCANTINS,ARAGUAÇU,-49.82861244,-12.92558371
TOCANTINS,ARAGUAÍNA,-48.20870525,-7.19132894
TOCANTINS,ARAGUANÃ,-48.64374955,-6.58224942
TOCANTINS,ARAGUATINS,-48.12350734,-5.650586473
TOCANTINS,ARAPOEMA,-49.07563739,-7.652569735
TOCANTINS,ARRAIAS,-46.94610706,-12.93441986
TOCANTINS,AUGUSTINÓPOLIS,-47.88095679,-5.465414296
TOCANTINS,AURORA DO TOCANTINS,-46.40708298,-12.70848986
TOCANTINS,AXIXÁ DO TOCANTINS,-47.77415603,-5.624309066
TOCANTINS,BABAÇULÂNDIA,-47.75881613,-7.201864532
TOCANTINS,BANDEIRANTES DO TOCANTINS,-48.5783806,-7.764859141
TOCANTINS,BARRA DO OURO,-47.68713497,-7.691766599
TOCANTINS,BARROLÂNDIA,-48.73146059,-9.831653365
TOCANTINS,BERNARDO SAYÃO,-48.89905435,-7.868512483
TOCANTINS,BOM JESUS DO TOCANTINS,-48.16638049,-8.963348013
TOCANTINS,BRASILÂNDIA DO TOCANTINS,-48.48537442,-8.384889351
TOCANTINS,BREJINHO DE NAZARÉ,-48.55866023,-11.01080506
TOCANTINS,BURITI DO TOCANTINS,-48.22325013,-5.313538856
TOCANTINS,CACHOEIRINHA,-47.91419778,-6.113241647
TOCANTINS,CAMPOS LINDOS,-46.80197435,-7.971681394
TOCANTINS,CARIRI DO TOCANTINS,-49.17104073,-11.88899746
TOCANTINS,CARMOLÂNDIA,-48.39595993,-7.031478778
TOCANTINS,CARRASCO BONITO,-48.03063343,-5.322661355
TOCANTINS,CASEARA,-49.94869227,-9.267406219
TOCANTINS,CENTENÁRIO,-47.33839851,-8.958463639
TOCANTINS,CHAPADA DE AREIA,-49.18310786,-10.14198858
TOCANTINS,CHAPADA DA NATIVIDADE,-47.75390489,-11.62426783
TOCANTINS,COLINAS DO TOCANTINS,-48.48159454,-8.054624675
TOCANTINS,COMBINADO,-46.55207234,-12.81860767
TOCANTINS,CONCEIÇÃO DO TOCANTINS,-47.29286881,-12.21727777
TOCANTINS,COUTO MAGALHÃES,-49.17657157,-8.35511837
TOCANTINS,CRISTALÂNDIA,-49.18630029,-10.59072464
TOCANTINS,CRIXÁS DO TOCANTINS,-48.91551383,-11.10427429
TOCANTINS,DARCINÓPOLIS,-47.75216111,-6.712351001
TOCANTINS,DIANÓPOLIS,-46.82040907,-11.62523188
TOCANTINS,DIVINÓPOLIS DO TOCANTINS,-49.20541319,-9.79530114
TOCANTINS,DOIS IRMÃOS DO TOCANTINS,-49.06733864,-9.26129671
TOCANTINS,DUERÉ,-49.26587592,-11.34128542
TOCANTINS,ESPERANTINA,-48.5441476,-5.366608059
TOCANTINS,FÁTIMA,-48.89898266,-10.75250873
TOCANTINS,FIGUEIRÓPOLIS,-49.17384673,-12.13677998
TOCANTINS,FILADÉLFIA,-47.48496414,-7.337611906
TOCANTINS,FORMOSO DO ARAGUAIA,-49.52686036,-11.80514197
TOCANTINS,FORTALEZA DO TABOCÃO,-48.51742642,-9.058965301
TOCANTINS,GOIANORTE,-48.93689019,-8.770520805
TOCANTINS,GOIATINS,-47.31543549,-7.70917239
TOCANTINS,GUARAÍ,-48.50864061,-8.836165658
TOCANTINS,GURUPI,-49.07147747,-11.72977232
TOCANTINS,IPUEIRAS,-48.45192623,-11.24628862
TOCANTINS,ITACAJÁ,-47.7681124,-8.390980552
TOCANTINS,ITAGUATINS,-47.47993595,-5.775385088
TOCANTINS,ITAPIRATINS,-48.11119961,-8.384329593
TOCANTINS,ITAPORÃ DO TOCANTINS,-48.6932637,-8.568828612
TOCANTINS,JAÚ DO TOCANTINS,-48.59460829,-12.65292637
TOCANTINS,JUARINA,-49.09864319,-8.117423968
TOCANTINS,LAGOA DA CONFUSÃO,-49.62008534,-10.78869556
TOCANTINS,LAGOA DO TOCANTINS,-47.56144663,-10.2968867
TOCANTINS,LAJEADO,-48.35850395,-9.744682436
TOCANTINS,LAVANDEIRA,-46.50667572,-12.79165879
TOCANTINS,LIZARDA,-46.67516546,-9.594570288
TOCANTINS,LUZINÓPOLIS,-47.85682804,-6.19398966
TOCANTINS,MARIANÓPOLIS DO TOCANTINS,-49.65103399,-9.798880359
TOCANTINS,MATEIROS,-46.41246574,-10.54442885
TOCANTINS,MAURILÂNDIA DO TOCANTINS,-47.50487996,-5.952566421
TOCANTINS,MIRACEMA DO TOCANTINS,-48.38799131,-9.568346078
TOCANTINS,MIRANORTE,-48.59263194,-9.517404731
TOCANTINS,MONTE DO CARMO,-48.11042003,-10.76354219
TOCANTINS,MONTE SANTO DO TOCANTINS,-48.9908906,-10.00559143
TOCANTINS,PALMEIRAS DO TOCANTINS,-47.55868353,-6.611862335
TOCANTINS,MURICILÂNDIA,-48.60674528,-7.138519285
TOCANTINS,NATIVIDADE,-47.72725753,-11.70535738
TOCANTINS,NAZARÉ,-47.66697718,-6.372557969
TOCANTINS,NOVA OLINDA,-48.42480679,-7.633314911
TOCANTINS,NOVA ROSALÂNDIA,-48.90618072,-10.56687114
TOCANTINS,NOVO ACORDO,-47.66814839,-9.968486466
TOCANTINS,NOVO ALEGRE,-46.57729735,-12.90993867
TOCANTINS,NOVO JARDIM,-46.6307873,-11.81587505
TOCANTINS,OLIVEIRA DE FÁTIMA,-48.90740157,-10.70836271
TOCANTINS,PALMEIRANTE,-47.93424971,-7.857561376
TOCANTINS,PALMEIRÓPOLIS,-48.41341396,-13.03988843
TOCANTINS,PARAÍSO DO TOCANTINS,-48.88663008,-10.17122075
TOCANTINS,PARANÃ,-47.88408373,-12.62048149
TOCANTINS,PAU D'ARCO,-49.36330648,-7.539998356
TOCANTINS,PEDRO AFONSO,-48.17755611,-8.964449592
TOCANTINS,PEIXE,-48.53781063,-12.02977383
TOCANTINS,PEQUIZEIRO,-48.93517987,-8.593340654
TOCANTINS,COLMÉIA,-48.75706659,-8.729371807
TOCANTINS,PINDORAMA DO TOCANTINS,-47.57568772,-11.13820258
TOCANTINS,PIRAQUÊ,-48.29370739,-6.769777033
TOCANTINS,PIUM,-49.16665801,-10.44093112
TOCANTINS,PONTE ALTA DO BOM JESUS,-46.46958679,-12.08781291
TOCANTINS,PONTE ALTA DO TOCANTINS,-47.54118036,-10.74067285
TOCANTINS,PORTO ALEGRE DO TOCANTINS,-47.0474256,-11.6072591
TOCANTINS,PORTO NACIONAL,-48.41215346,-10.70856992
TOCANTINS,PRAIA NORTE,-47.81473173,-5.396712877
TOCANTINS,PRESIDENTE KENNEDY,-48.50433067,-8.529960828
TOCANTINS,PUGMIL,-48.89422045,-10.42430716
TOCANTINS,RECURSOLÂNDIA,-47.2380412,-8.735360454
TOCANTINS,RIACHINHO,-48.1410455,-6.442211388
TOCANTINS,RIO DA CONCEIÇÃO,-46.8803997,-11.40494002
TOCANTINS,RIO DOS BOIS,-48.53304797,-9.343742239
TOCANTINS,RIO SONO,-47.89994164,-9.347789334
TOCANTINS,SAMPAIO,-47.87579246,-5.349295616
TOCANTINS,SANDOLÂNDIA,-49.93338815,-12.54160017
TOCANTINS,SANTA FÉ DO ARAGUAIA,-48.6939418,-7.149936385
